question,type,level,answer_1,answer_2,answer_3,answer_4,correct
أين تقم القاهرة؟,Hard,one,السعودية,فلسطين,مصر,لبنان,3
كم عدد حروف اللغة العربية,Hard,one,25 حرفاً,30 حرفاً,28 حرفاً,35 حرفاً,3
ما هو الشيئ الذي ينام عليه الإنسان؟,Hard,one,الكرسي,السرير,الثلاجة,الطاولة,2
ما هي عملة السعودية؟,Hard,one,الدينار,الدولار,الريال,الين,3
توجد مدينة حيفا في؟,Hard,two,لبنان,سوريا,الاردن,فلسطين,4
يوجد في اليد الواحدة؟,Hard,two,7 أصابع,8 أصابع,6 أصابع,5 أصابع,4
ما عكس كلمة متسخ؟,Hard,two,خشن,لامع,ناعم,نظيف,4
يصلي المسلمون صلاة الجمعة مرة كل ؟,Low,two,شهر,قرن,سنة,أسبوع,4
أبو البشر؟,Low,two,أدم عليه السلام,نوح عليه السلام,إبراهيم عليه السلام,موسي عليه السلام,1
كم صفر للمليون؟,Low,three,ستة,خمسة,ثمانية,سبعة,1
ما هو جمع كلمة شجرة؟,Low,three,شجاير,أشجار,شجران,أشاجر,2
تقع اليمن في قارة؟,Low,three,أوروبا,أسيا,أمريكا الجنوبية,أفريقيا,2
ماذا يسمى طلوع الشمس؟,Low,three,ظهور,غروب,شروق,زوال,3
أول مسجد بني في الإسلام هو؟,Mediam	,three,مسجد قباء,المسجد الحرام,المسجد النبوي,مسجد ذي القبلتين,1
ما هو الحيوان الذي يلقب بسفينة الصحراء؟,Mediam	,three,الحصان,الثور,الماعز,الجمل,4
من هو إمام المؤذين يوم القيامة؟,Mediam	,three,عبد الله بن أم مكتوم,بلال بن رباح,ثابت بن قيس,زيد بن الخطاب,2
تقع لبنان في قارة؟,Mediam	,one,أوروبا,أفريقيا,أمريكا الجنوبية,أسيا,4
الشخص الذي فقد والديه يسمى؟,Mediam	,for,فقيرا,أسيرا,يتيما,سجينا,3
أول نبي في الاسلام؟,Mediam	,for,آدم عليه السلام,نوح عليه السلام,إبراهيم عليه السلام,ادريس عليه السلام,1
كم دقيقة في الساعة؟,Mediam	,for,12,30,60,50,3
ما هي الصلاة الوسطى؟,easy,for,صلاة العصر,صلاة العشاء,صلاة الظهر,صلاة المغرب,1
إذا جاع الطفل حديث الولادة فإنه؟,easy,for,يرقص,يبكي,ينام,يضحك,2
أي الدول التالية لها حدود مع سوريا؟,easy,for,لبنان,السعودية,إيران,الصين,1
ما هى عملة مصر؟,easy,for,دولار,ريال,جنيه,درهم,3
تجد عنده الأدوية ومستحضراتها؟,easy,for,المهندس,الطبيب,المعلم,الصيدلي,4
كم ثانية توجد في الدقيقة؟,easy,two,70 ثانية,60 ثانية,50 ثانية,55 ثانية,2
اختر العدد الفردي من بين الأعداد الآتية؟,easy,two,31,32,30,34,1
من هو الشخص الذي تقع في شباكه الأسماك؟,easy,two,التاجر,الحداد,النجار,الصياد,4